interpro_id,keywords
IPR010949,"dependent haemoglobintransferrinlactoferrin,haemoglobintransferrinlactoferrin,haemoglobintransferrinlactoferrin receptor,transporter activity,outer membrane,outer,transmembrane transport,tonb dependent,tonb,transmembrane transporter"
IPR010950,"chorismate mutase,chorismate,mutase,archaeal"
IPR010951,"chorismate mutase,chorismate,mutase,bacteria"
IPR010952,"l phenylalanine,chorismate mutase,phenylalanine,chorismate,phenylalanine biosynthetic,mutase,amino acid,4 phosphatephosphoenolpyruvate,phosphatephosphoenolpyruvate family,erythrose,phosphatephosphoenolpyruvate,erythrose 4,aromatic amino,amino,acid biosynthetic,mutase activity,family biosynthetic,acid family,family amino,alpha amino,prephenate pathway,phenylalanine metabolic,gammaproteobacteria,prephenate,carboxylic acid,organic acid,carboxylic,alpha,cytoplasm,intramolecular transferase,intramolecular,isomerase activity,isomerase,molecule biosynthetic,pathway,oxoacid metabolic,oxoacid"
IPR010953,"citrate,citrate si,si synthase,si,citrate synthase,synthase activity,synthase,acyltransferase activity,acyltransferase,into alkyl,groups converted,converted into,on transfer,alkyl on,converted,cytoplasm,type i,alkyl,acyl groups,into,transfer,acyl"
IPR010954,"firmicutesdeinococcus,chorismate mutase,chorismate,mutase"
IPR010957,"l phenylalanine,chorismate mutase,chorismate,phenylalanine,phenylalanine biosynthetic,mutase,amino acid,4 phosphatephosphoenolpyruvate,phosphatephosphoenolpyruvate family,phosphatephosphoenolpyruvate,erythrose,erythrose 4,aromatic amino,amino,acid biosynthetic,mutase activity,family biosynthetic,acid family,gammabetaepsilon,proteobacterial p,gammabetaepsilon proteobacterial,family amino,alpha amino,mutase domain,proteobacterial,prephenate pathway,phenylalanine metabolic,p protein,prephenate,carboxylic acid,organic acid,carboxylic,alpha,cytoplasm,intramolecular transferase,intramolecular,isomerase activity,isomerase,molecule biosynthetic,pathway,oxoacid metabolic,oxoacid"
IPR010958,"bacteriaarchaeal,high gc,positive bacteriaarchaeal,gc gram,gc,gram positive,chorismate mutase,chorismate,high,mutase,gram,positive"
IPR010960,"fmn binding,fmn,flavocytochrome c,flavocytochrome,ribonucleotide binding,derivative binding,ribonucleotide,anion binding,nucleotide binding,phosphate binding,heterocyclic compound,heterocyclic,molecule binding"
IPR010961,"5 aminolevulinate,aminolevulinate,aminolevulinate synthase,succinyltransferase activity,succinyltransferase,tetrapyrrole,pyridoxal phosphate,pyridoxal,acyltransferase activity,acyltransferase,tetrapyrrole biosynthetic,5 aminolevulinic,vitamin,synthase,synthase activity,aminolevulinic acid,aminolevulinic,tetrapyrrole biosynthesis,n succinyltransferase,acid synthase,b6 binding,phosphate binding,vitamin b6,b6,n acyltransferase,vitamin binding,tetrapyrrole metabolic,than amino,amino acyl,groups other,transferring groups,acyl groups,other than,than,biosynthesis,acyl,other,amino,anion binding,heterocyclic,heterocyclic compound,molecule binding"
IPR010962,
IPR010963,"poly hydroxybutyrate,hydroxybutyrate,poly,hydroxybutyrate biosynthetic,polyhydroxyalkanoate,hydroxyalkanoic,hydroxyalkanoic acid,polyr,polyr hydroxyalkanoic,acyltransferase activity,polyhydroxyalkanoate biosynthetic,hydroxybutyrate metabolic,polyhydroxyalkanoate metabolic,acyltransferase,acid synthase,cytoplasm,class i,class,synthase"
IPR010964,"dipeptidase activity,dipeptidase,v related,peptidase v,peptidase,zinc ion,m20a,peptidase m20a,zinc,exopeptidase activity,exopeptidase,peptidase activity,related,transition metal,transition,cation binding,a protein"
IPR010965,"hesb related,selonoprotein,hesb,related"
IPR010966,"on nadph,transport chain,electron transport,quinone,nadph,fmn binding,or similar,similar compound,similar,quinone or,compound as,electron,fmn,respiratory electron,respiratory,chain,energy,translocating nadh,na translocating,quinone reductase,nadh quinone,na,translocating,reductase subunit,as acceptor,acceptor,subunit b,nadh,cellular respiration,respiration,energy derivation,by oxidation,derivation by,derivation,organic compounds,of organic,oxidation of,oxidation,of precursor,precursor metabolites,metabolites,metabolites and,and energy,generation of,precursor,generation,compounds,reductase,by,ribonucleotide binding,derivative binding,ribonucleotide,anion binding,nucleotide binding,phosphate binding,and,heterocyclic,heterocyclic compound,molecule binding"
IPR010967,"cell wall,wall,on nadph,bacterium type,negative bacterium,transport chain,electron transport,quinone,gram negative,type cell,nadph,similar compound,or similar,similar,quinone or,compound as,electron,bacterium,gram,respiratory electron,respiratory,chain,energy,envelope,negative,translocating nadh,na translocating,quinone reductase,nadh quinone,na,subunit e,translocating,peptidoglycan based,based cell,reductase subunit,as acceptor,acceptor,cell envelope,peptidoglycan,nadh,encapsulating,encapsulating structure,external encapsulating,cellular respiration,respiration,derivation by,derivation,energy derivation,organic compounds,by oxidation,of organic,oxidation of,oxidation,based,of precursor,metabolites,metabolites and,precursor metabolites,and energy,generation of,precursor,generation,external,cell periphery,periphery,compounds,reductase,by,and"
IPR010968,"transport chain,electron transport,electron,chain,translocating oxidoreductase,ion translocating,subunit e,translocating,oxidoreductase complex,metabolites and,metabolites,precursor metabolites,of precursor,and energy,energy,generation of,precursor,generation,complex subunit,and"
IPR010969,
IPR010970,"cysteine desulfurase,desulfurase,desulfurase activity,cysteine,cysteine metabolic,pyridoxal phosphate,pyridoxal,amino acid,amino,sufs,vitamin,sulfur,sulfurtransferase activity,sulfurtransferase,serine family,b6 binding,phosphate binding,vitamin b6,sulfur amino,b6,sulphur containing,transferring sulphur,vitamin binding,sulphur,family amino,alpha amino,serine,sulfur compound,oxoacid metabolic,oxoacid,carboxylic acid,organic acid,carboxylic,anion binding,alpha,heterocyclic compound,heterocyclic,containing groups,molecule binding"
IPR010971,"ubiquinone,ubiquinone biosynthetic,ketone,dinucleotide binding,flavin adenine,adenine dinucleotide,dinucleotide,on paired,paired donors,reduction of,incorporation or,or reduction,reduction,adenine,paired,quinone,flavin,molecular oxygen,with incorporation,incorporation,ubihcoq6,hydroxylase ubihcoq6,biosynthesis hydroxylase,of molecular,with,ubiquinone biosynthesis,oxygen,ubiquinone metabolic,donors,quinone biosynthetic,quinone metabolic,ketone biosynthetic,hydroxylase,ketone metabolic,cellular ketone,biosynthesis,molecule biosynthetic,anion binding,nucleotide binding,phosphate binding,heterocyclic,heterocyclic compound,molecule binding"
IPR010972,"beta phosphoglucomutase,phosphoglucomutase,phosphoglucomutase activity,magnesium ion,magnesium,intramolecular,beta,carbohydrate metabolic,intramolecular phosphotransferase,intramolecular transferase,isomerase activity,isomerase,phosphotransferase activity,phosphotransferase,cation binding"
IPR010973,"sugar phosphotransferase,phosphotransferase system,sugar,phosphotransferase,import,npi phosphohistidine,phosphohistidine sugar,npi,protein npi,phosphohistidine,phosphoenolpyruvate dependent,dependent sugar,import across,across plasma,phosphoenolpyruvate,across,carbohydrate transmembrane,transporter activity,phosphotransferase activity,sucrose specific,transmembrane transporter,specific iibc,iibc,iibc component,transmembrane transport,plasma membrane,plasma,sucrose,carbohydrate import,into cell,carbohydrate transport,import into,into,active transmembrane,alcohol group,specific,group as,active,substance transport,alcohol,transferring phosphorus,containing groups,as acceptor,acceptor"
IPR010974,"sugar phosphotransferase,acetylglucosamine transmembrane,n acetylglucosamine,acetylglucosamine,phosphotransferase system,sugar,phosphotransferase,transporter activity,import,npi phosphohistidine,phosphohistidine sugar,protein npi,npi,phosphohistidine,transmembrane transporter,dependent sugar,phosphoenolpyruvate dependent,import across,across plasma,phosphoenolpyruvate,across,carbohydrate transmembrane,organelle inner,inner membrane,phosphotransferase activity,acetylglucosamine specific,inner,envelope,specific iibc,iibc,iibc component,transmembrane transport,plasma membrane,plasma,derivative transmembrane,carbohydrate import,into cell,carbohydrate transport,import into,organelle envelope,into,active transmembrane,organelle membrane,alcohol group,specific,group as,active,substance transport,alcohol,transferring phosphorus,containing groups,as acceptor,acceptor"
IPR010975,"sugar phosphotransferase,phosphotransferase system,sugar,phosphotransferase,import,npi phosphohistidine,phosphohistidine sugar,npi,protein npi,phosphohistidine,dependent sugar,phosphoenolpyruvate dependent,import across,across plasma,phosphoenolpyruvate,across,carbohydrate transmembrane,transporter activity,phosphotransferase activity,alpha glucoside,glucoside specific,glucoside,transmembrane transporter,specific iibc,iibc,iibc component,transmembrane transport,plasma membrane,plasma,carbohydrate import,into cell,carbohydrate transport,import into,into,active transmembrane,alcohol group,specific,group as,active,substance transport,alcohol,transferring phosphorus,alpha,containing groups,as acceptor,acceptor"
IPR010976,"phosphoglucomutase hydrolase,beta phosphoglucomutase,phosphoglucomutase,beta"
IPR010977,"lyase activity,lyase,carboxy lyase,carboxy,aromatic l,amino acid,amino,acid decarboxylase,l amino,decarboxylase,carbon lyase,carbon carbon,oxoacid metabolic,oxoacid,carboxylic acid,organic acid,carboxylic"
IPR010978,"and ii,ii aminoacyl,binding arm,i and,trna,arm,trna binding,nucleotide binding,class i,trna synthetase,aminoacyl trna,aminoacyl,synthetase,class,ii,phosphate binding,and,heterocyclic compound,heterocyclic,molecule binding"
IPR010979,"us13 like,h2th,us13,protein us13,small ribosomal,subunit protein,ribosomal subunit,ribosomal"
IPR010980,"electron,transport chain,electron transport,heme binding,transfer activity,electron transfer,iron ion,cytochrome cb562,cb562,heme,transfer,iron,chain,tetrapyrrole binding,tetrapyrrole,of precursor,metabolites and,precursor metabolites,metabolites,and energy,energy,generation of,cytochrome,precursor,generation,transition metal,transition,cation binding,and"
IPR010981,"dimerization activity,protein dimerization,dimerization,anti repressor,repressorsini anti,sinr,repressorsini,sinr repressorsini,templated transcription,dna templated,templated,of dna,of rna,rna biosynthetic,of macromolecule,dimerisation domain,anti,dimerisation,repressor,of nucleobase,of gene,of biosynthetic,of nitrogen,of primary,protein binding,of metabolic"
IPR010982,"lambda repressor,repressor like,lambda,repressor"
IPR010985,"helix,templated transcription,dna templated,templated,ribbon helix,helix helix,of dna,of rna,rna biosynthetic,of macromolecule,ribbon,of nucleobase,of gene,of biosynthetic,of nitrogen,of primary,of metabolic"
IPR010987,"terminal like,s transferase,glutathione s,glutathione"
IPR010989,"mediated transport,vesicle mediated,vesicle,mediated,snare"
IPR010991,"protein tetramerization,tetramerization,organization,tetramerisation domain,tetramerisation,assembly,complex oligomerization,oligomerization,p53,component organization,biogenesis,complex assembly,complex organization,component assembly,protein complex,component biogenesis,or biogenesis,organization or"
IPR010992,"factor ihf,ihf like,ihf,host factor,integration host,integration,like dna,host"
IPR010994,"ruva domain,ruva,2 like,domain 2"
IPR010995,"rad51transcription factor,repair rad51transcription,rad51transcription,factor nusa,nusa,alpha helical,nucleotide binding,helical,dna repair,repair,alpha,phosphate binding,heterocyclic,heterocyclic compound,molecule binding"
IPR010996,"polymerase beta,beta like,dna polymerase,polymerase,beta"
IPR010997,"hrdc like,hrdc,nucleotide binding,like superfamily,phosphate binding,heterocyclic compound,heterocyclic,molecule binding"
IPR010998,integraserecombinase
IPR010999,"retroviral matrix,retroviral,matrix protein,matrix"
IPR011001,"saposin like,saposin"
IPR011002,"flig,protein flig,motor switch,flagellar motor,switch protein,switch,alpha helical,motor,flagellar,helical,alpha"
IPR011004,"lpxa,lpxa like,trimeric lpxa,trimeric,like superfamily"
IPR011005,"dihydropteroate,dihydropteroate synthase,synthase like,like superfamily,synthase"
IPR011006,"chey like,chey,like superfamily"
IPR011008,"dimeric alpha,dimeric,alpha beta,beta barrel,barrel,beta,alpha"
IPR011009,"kinase like,protein kinase,kinase"
IPR011010,"breaking rejoining,rejoining enzyme,rejoining,dna breaking,breaking,catalytic core,core,enzyme"
IPR011011,"fyvephd type,fyvephd,zinc finger,finger,zinc"
IPR011012,"longin like,longin"
IPR011013,"carbohydrate binding,galactose mutarotase,mutarotase like,mutarotase,carbohydrate metabolic,galactose"
IPR011014,"transmembrane 2,channel mscs,mscs,mechanosensitive ion,mechanosensitive,ion channel,channel"
IPR011015,"lemlem,lemlem like"
IPR011016,"ch type,zinc,zinc ion,ring ch,ring,zinc finger,ch,finger,transition metal,transition,cation binding"
IPR011017,"trash domain,trash"
IPR011019,"kind,kind domain"
IPR011020,httm
IPR011021,"arrestin like,arrestin"
IPR011022,"arrestin c,arrestin,terminal like"
IPR011023,"methyltransferase activity,methyltransferase,adenosylmethionine dependent,nop2p,s adenosylmethionine,adenosylmethionine,dependent methyltransferase,rna processing,processing,rna binding,transferring one,carbon groups,one carbon,one"
IPR011024,"crystallin like,gamma crystallin,crystallin,gamma"
IPR011025,"helical insertion,protein alpha,signal transduction,transduction,signal,insertion,alpha subunit,helical,g protein,cell communication,communication,alpha"
IPR011026,"actin,actin filament,filament,organization,filament organization,cytoskeleton organization,nucleation promoting,factor was,was,cytoskeleton,promoting factor,actin nucleation,nucleation,promoting,component organization,fiber organization,filament based,actin cytoskeleton,supramolecular fiber,fiber,supramolecular,based process,based,organelle organization,organization or,or biogenesis,biogenesis"
IPR011029,"death like,death"
IPR011030,"lipovitellin,lipovitellin phosvitin,phosvitin,phosvitin complex,superhelical domain,superhelical"
IPR011032,"groes like,groes,like superfamily"
IPR011033,"prc barrel,prc,barrel like,barrel,like superfamily"
IPR011034,"transferase like,formyl transferase,formyl"
IPR011035,"bl25gln trna,bl25gln,protein bl25gln,anti codon,codon binding,codon,translation,amide,peptide,anti,trna synthetase,synthetase,large ribosomal,trna,large,subunit protein,ribosomal subunit,peptide biosynthetic,peptide metabolic,amide biosynthetic,amide metabolic,ribosomal"
IPR011037,"pyruvate kinase,insert,insert domain,kinase like,pyruvate,kinase"
IPR011039,"transcription initiation,ii promoter,at rna,initiation at,promoter,initiation,polymerase ii,at,rna polymerase,rap30rap74,ii,polymerase,iif,factor iif,templated transcription,dna templated,templated,transcription by,by rna,interaction,transcription factor,by,rna biosynthetic"
IPR011040,sialidase
IPR011041,"soluble quinoprotein,quinoprotein glucosesorbosone,glucosesorbosone,glucosesorbosone dehydrogenase,quinoprotein,soluble,dehydrogenase"
IPR011042,"six bladed,tolb like,tolb,bladed beta,bladed,six,beta propeller,propeller,beta"
IPR011043,"galactose oxidasekelch,oxidasekelch,galactose,beta propeller,propeller,beta"
IPR011044,"quinoprotein amine,chain like,quinoprotein,amine dehydrogenase,beta chain,amine,chain,dehydrogenase,beta"
IPR011045,"nitrous,nitrous oxide,oxide reductase,oxide,reductase"
IPR011047,"quinoprotein alcohol,quinoprotein,dehydrogenase like,alcohol dehydrogenase,like superfamily,alcohol,dehydrogenase"
IPR011048,"haem d1,cd1,cytochrome cd1,cd1 nitrite,d1 domain,nitrite reductase,nitrite,d1,reductase like,haem,cytochrome,reductase"
IPR011049,"like metalloprotease,serralysin like,serralysin,metalloprotease"
IPR011050,"foldvirulence,foldvirulence factor,lyase foldvirulence,pectin lyase,pectin,lyase"
IPR011051,"rmlc,like cupin,rmlc like,cupin domain,cupin"
IPR011052,"inhibitor activity,inhibitor,endopeptidase inhibitor,endopeptidase,regulator activity,proteinaseamylase,proteinaseamylase inhibitor,inhibitor domain,function,enzyme,peptidase,endopeptidase regulator,peptidase regulator,peptidase inhibitor,enzyme inhibitor,function inhibitor,enzyme regulator,function regulator"
IPR011053,"single hybrid,hybrid motif,hybrid,single,motif"
IPR011054,"rudiment,rudiment single,single hybrid,hybrid motif,hybrid,single,motif"
IPR011055,"duplicated hybrid,hybrid motif,duplicated,hybrid,motif"
IPR011057,"mss4 like,mss4,like superfamily"
IPR011058,"cyanovirin,cyanovirin n"
IPR011059,"but,but not,nitrogen but,not peptide,on carbon,peptide bonds,composite domain,composite,not,dependent hydrolase,carbon nitrogen,metal dependent,peptide"
IPR011060,"binding barrel,ribulose phosphate,ribulose,barrel,phosphate binding"
IPR011061,"inhibitor activity,inhibitor,enzyme inhibitor,hirudinantistatin,enzyme,function,regulator activity,function inhibitor,enzyme regulator,function regulator"
IPR011062,"contryphan,conserved site,conserved,site"
IPR011063,"lysidine2,lysidine2 thiocytidine,thiocytidine,thiocytidine synthase,trnaile lysidine2,trnaile,synthase"
IPR011064,"phycobilisome,thylakoid,photosynthesis,linker chain,allophycocyanin linker,allophycocyanin,harvesting complex,non membrane,light harvesting,harvesting,thylakoid membrane,linker,non,photosynthetic membrane,photosynthetic,light,chain,protein complex,membrane protein,intracellular non"
IPR011065,"inhibitor sti,kunitz inhibitor,sti like,sti,kunitz,inhibitor,like superfamily"
IPR011066,"channel mscs,mscs,mechanosensitive ion,mechanosensitive,ion channel,channel"
IPR011067,"growth inhibitor,maintenance toxincell,toxincell,toxincell growth,plasmid maintenance,plasmid,maintenance,growth,inhibitor"
IPR011068,"3 end,rna 3,end processing,end,nucleotidyltransferase,processing,nucleotidyltransferase activity,i like,rna binding,class i,class,rna processing,transferring phosphorus,containing groups"
IPR011070,"globular,globular alphabeta,non globular,globular protein,alphabeta subunit,alphabeta,non"
IPR011071,"family 8,lyase family,polysaccharide lyase,8 like,carbohydrate metabolic,polysaccharide,lyase"
IPR011072,"hr1 rho,rho binding,hr1,signal transduction,transduction,signal,rho,cell communication,communication"
IPR011074,craltrio
IPR011075,"repressor like,tetracyclin,tetracyclin repressor,repressor"
IPR011076,"synthase superfamily,malate synthase,malate,synthase"
IPR011078,"pyridoxal phosphate,pyridoxal,phosphate homeostasis,homeostasis protein,vitamin,b6 binding,phosphate binding,vitamin b6,b6,homeostasis,vitamin binding,anion binding,heterocyclic,heterocyclic compound,molecule binding"
IPR011079,"alanine racemase,racemase,alanine"
IPR011081,"bacterial ig,ig like,ig,bacterial"
IPR011082,"c1d,rrp47dna,repair c1d,factor rrp47dna,strand repair,rrp47dna strand,exosome associated,exosome,associated factor,strand,repair"
IPR011083,"collar,collar domain,tail collar,phage tail,tail,phage"
IPR011084,"repair metallo,metallo beta,beta lactamase,lactamase,metallo,dna repair,repair,beta"
IPR011086,
IPR011087,
IPR011088,"a0ewy4,bacteriophage phinm3,phinm3,bacteriophage"
IPR011089,
IPR011090,"pfl4709,conjugative element,integrating conjugative,integrating,element protein,conjugative,element"
IPR011093,
IPR011094,
IPR011095,"d alanine,alanine,alanine d,alanine ligase,ligase activity,ligase,acid amino,acid ligase,nitrogen bonds,forming carbon,carbon nitrogen,forming,amino acid,amino"
IPR011096,"ftp,ftp domain"
IPR011098,"g5 domain,g5"
IPR011099,"xylan,cell wall,wall,catabolic process,catabolic,alpha glucuronidase,glucuronidase activity,glucuronidase,xylan catabolic,wall polysaccharide,hemicellulose,polysaccharide,wall macromolecule,polysaccharide catabolic,polysaccharide metabolic,glycosyl,macromolecule catabolic,family 67,hemicellulose catabolic,xylan metabolic,hemicellulose metabolic,67,extracellular region,extracellular,region,alpha,wall organization,glycosyl hydrolase,hydrolase family,carbohydrate catabolic,hydrolyzing o,o glycosyl,glycosyl compounds,on glycosyl,glycosyl bonds,hydrolyzing,compounds,carbohydrate metabolic,substance catabolic,organization or,or biogenesis,organization,biogenesis"
IPR011100,"xylan,cell wall,wall,catabolic process,catabolic,alpha glucuronidase,glucuronidase activity,glucuronidase,xylan catabolic,wall polysaccharide,hemicellulose,polysaccharide,wall macromolecule,polysaccharide catabolic,polysaccharide metabolic,glycosyl,macromolecule catabolic,family 67,hemicellulose catabolic,xylan metabolic,hemicellulose metabolic,67,extracellular region,extracellular,region,alpha,wall organization,glycosyl hydrolase,hydrolase family,carbohydrate catabolic,o glycosyl,hydrolyzing o,glycosyl compounds,glycosyl bonds,on glycosyl,catalytic domain,hydrolyzing,compounds,carbohydrate metabolic,substance catabolic,or biogenesis,organization or,organization,biogenesis"
IPR011101,
IPR011102,"histidine kinase,protein histidine,histidine,kinase activity,kinase,hwe,hwe region,group as,phosphotransferase activity,phosphotransferase,transduction histidine,nitrogenous group,as acceptor,acceptor,nitrogenous,protein kinase,alcohol group,alcohol,region,signal transduction,transduction,transferring phosphorus,signal,containing groups,a protein"
IPR011104,"phosphorelay,of carbohydrate,kinase activity,sensor,phosphorelay sensor,sensor kinase,transduction system,phosphorelay signal,kinase,signal transduction,transduction,carbohydrate metabolic,signal,hpr kinasephosphorylase,ribonucleotide binding,kinasephosphorylase,ribonucleotide,nucleotide binding,purine,hpr,protein kinase,group as,phosphotransferase activity,phosphotransferase,atp binding,adenyl,sensor activity,molecule sensor,protein histidine,nitrogenous group,as acceptor,acceptor,histidine kinase,nitrogenous,histidine,intracellular signal,alcohol group,alcohol,adenyl ribonucleotide,adenyl nucleotide,triphosphate binding,derivative binding,purine ribonucleoside,of primary,purine ribonucleotide,ribonucleoside triphosphate,triphosphate,anion binding,cell communication,communication,of metabolic,ribonucleoside,transferring phosphorus,phosphate binding,purine nucleotide,heterocyclic,heterocyclic compound,containing groups,a protein,molecule binding"
IPR011105,"wall hydrolase,sleb,cell wall,wall"
IPR011106,"seven cysteines,cysteines,seven"
IPR011107,"phosphatase inhibitor,negative regulation,negative,dephosphorylation,of phosphoprotein,phosphatase,inhibitor activity,inhibitor,protein dephosphorylation,of protein,phosphoprotein phosphatase,of phosphatase,of dephosphorylation,protein phosphatase,phosphatase activity,serinethreonine phosphatase,phosphatase regulator,phosphoprotein,of phosphate,of phosphorus,of hydrolase,function,of catalytic,modification,protein modification,modification process,regulator activity,phosphorus metabolic,protein serinethreonine,of molecular,serinethreonine,phosphate metabolic,enzyme,1 protein,of nitrogen,of macromolecule,of metabolic,enzyme inhibitor,type 1,function inhibitor,enzyme regulator,function regulator,phosphate containing,macromolecule modification,of primary"
IPR011108,"dependent metallo,rna specificity,zn dependent,specificity domain,metallo hydrolase,zn,specificity,metallo"
IPR011109,"dna strand,exchange activity,strand exchange,exchange,strand,binding recombinase,recombinase domain,recombinase,on dna,a nucleic"
IPR011110,"regulator propeller,component regulator,two component,propeller,two"
IPR011111,"repb plasmid,plasmid partition,repb,partition,plasmid"
IPR011112,"termination,transcription termination,rho termination,templated transcription,dna templated,templated,termination factor,rho,rna biosynthetic"
IPR011113,"termination,transcription termination,rna binding,rho termination,templated transcription,dna templated,templated,termination factor,rho,rna biosynthetic"
IPR011114,"junction helicase,helicase complex,helicase,holliday,holliday junction,junction,helicase activity,four way,way,way junction,dna helicase,four,dna recombination,recombination,helicase ruva,ribonucleotide binding,dna repair,ribonucleotide,nucleotide binding,dependent activity,ruva,repair,on dna,purine,atp dependent,junction dna,to stress,atp binding,stress,adenyl,damage response,dna damage,damage,catalytic complex,adenyl ribonucleotide,dna metabolic,adenyl nucleotide,triphosphate binding,derivative binding,purine ribonucleoside,a nucleic,purine ribonucleotide,ribonucleoside triphosphate,triphosphate,anion binding,ribonucleoside,phosphate binding,purine nucleotide,heterocyclic,heterocyclic compound,molecule binding"
IPR011115,"protein import,import,seca dead,dead like,ribonucleotide binding,protein localization,ribonucleotide,nucleotide binding,purine,macromolecule localization,seca,atp binding,adenyl,dead,protein transport,cellular macromolecule,of protein,cellular localization,compound transport,substance transport,adenyl ribonucleotide,adenyl nucleotide,triphosphate binding,derivative binding,purine ribonucleoside,purine ribonucleotide,ribonucleoside triphosphate,triphosphate,anion binding,ribonucleoside,phosphate binding,purine nucleotide,heterocyclic,heterocyclic compound,molecule binding"
IPR011116,"protein import,import,seca wingscaffold,wingscaffold,protein localization,macromolecule localization,seca,protein transport,cellular macromolecule,of protein,cellular localization,compound transport,substance transport"
IPR011118,"tannaseferuloyl,tannaseferuloyl esterase,esterase"
IPR011119,
IPR011120,"trehalase,trehalase activity,trehalose,trehalose catabolic,alphaalpha trehalase,alphaalpha,catabolic process,catabolic,disaccharide,oligosaccharide,neutral trehalase,trehalase ca2,calcium ion,ca2 binding,calcium,ca2,glycosyl,disaccharide catabolic,oligosaccharide catabolic,trehalose metabolic,neutral,disaccharide metabolic,oligosaccharide metabolic,cytoplasm,carbohydrate catabolic,o glycosyl,hydrolyzing o,glycosyl compounds,glycosyl bonds,on glycosyl,hydrolyzing,compounds,carbohydrate metabolic,substance catabolic,cation binding"
IPR011121,"tryptophan rich,tryptophan,rich domain,rich"
IPR011122,"lipopolysaccharide synthesis,wave lipopolysaccharide,wave,lipopolysaccharide,synthesis"
IPR011123,"regulator three,three y,component regulator,two component,three,two"
IPR011124,"zinc,cw,cw type,zinc ion,zinc finger,finger,transition metal,transition,cation binding"
IPR011125,"zinc,hypf type,zinc ion,hypf,zinc finger,finger,transition metal,transition,cation binding"
IPR011126,"phosphorelay,of carbohydrate,kinase activity,sensor,phosphorelay sensor,sensor kinase,transduction system,phosphorelay signal,kinase,signal transduction,transduction,carbohydrate metabolic,signal,ribonucleotide binding,hprser,hprser kinasephosphorylase,kinasephosphorylase,ribonucleotide,nucleotide binding,purine,protein kinase,group as,phosphotransferase activity,phosphotransferase,atp binding,adenyl,sensor activity,molecule sensor,protein histidine,nitrogenous group,as acceptor,acceptor,histidine kinase,nitrogenous,histidine,intracellular signal,alcohol group,alcohol,adenyl ribonucleotide,adenyl nucleotide,triphosphate binding,derivative binding,purine ribonucleoside,of primary,purine ribonucleotide,ribonucleoside triphosphate,triphosphate,anion binding,cell communication,communication,of metabolic,ribonucleoside,transferring phosphorus,phosphate binding,purine nucleotide,heterocyclic,heterocyclic compound,containing groups,a protein,molecule binding"
IPR011127,"d alanine,alanine,alanine d,alanine ligase,ligase"
IPR011128,"glycerol 3,3 phosphate,glycerol,nad,catabolic process,catabolic,ch oh,oh,oh group,nad binding,phosphate catabolic,ch,group of,of donors,donors,nad or,or nadp,nucleotide binding,nadp as,the ch,phosphate metabolic,nadp,alditol phosphate,on the,organophosphate,the,alditol,nad dependent,phosphate dehydrogenase,as acceptor,acceptor,organophosphate catabolic,derivative catabolic,on ch,derivative metabolic,organophosphate metabolic,substance catabolic,dehydrogenase,phosphate containing,phosphorus metabolic,adenyl,adenyl nucleotide,phosphate binding,purine nucleotide,heterocyclic,heterocyclic compound,purine,molecule binding"
IPR011129,"shock domain,cold shock,cold,shock"
IPR011130,"protein import,import,preprotein cross,linking domain,protein localization,preprotein,macromolecule localization,cross linking,seca,linking,cross,protein transport,cellular macromolecule,of protein,cellular localization,compound transport,substance transport"
IPR011134,"phycobilisome,thylakoid,photosynthesis,allophycocyanin linker,linker protein,allophycocyanin,harvesting complex,non membrane,light harvesting,harvesting,thylakoid membrane,linker,non,photosynthetic membrane,photosynthetic,light,protein complex,membrane protein,intracellular non"
IPR011138,"b558 subunit,b558,cytochrome b558,dehydrogenase cytochrome,succinate dehydrogenase,succinate,cytochrome,dehydrogenase"
IPR011140,"autonomous glycyl,cofactor grca,grca,radical cofactor,autonomous,glycyl radical,glycyl,radical,cofactor"
IPR011141,"acyltransferase activity,acyltransferase,groups other,amino acyl,transferring groups,than amino,acyl groups,other than,than,acyl,other,polyketide synthase,polyketide,amino,type iii,iii,synthase"
IPR011142,"scaffold conserved,cstx,knottin scaffold,toxin cstx,spider toxin,knottin,spider,scaffold,toxin,conserved site,conserved,site"
IPR011143,"lipid glycosylation,glycosylation,golgi membrane,golgi,lipid,hexosyltransferase,hexosyltransferase activity,gm2 synthase,ganglioside gm2,ganglioside,gm2,lipid metabolic,lipid modification,golgi apparatus,apparatus,bounding,bounding membrane,membrane of,of organelle,glycosyltransferase activity,glycosyltransferase,endomembrane,endomembrane system,cellular lipid,organelle membrane,synthase,modification,cytoplasm"
IPR011145,"decapping,of mrna,mrna,positive regulation,positive,mrna catabolic,catabolic process,catabolic,transcribed mrna,nuclear transcribed,transcribed,deadenylation dependent,deadenylation,negative regulation,negative,dependent decapping,decapping of,destabilization,stability,of nuclear,mrna metabolic,of catabolic,compound catabolic,of macromolecule,cellular catabolic,nuclear,scavenger mrna,of rna,of gene,of metabolic,decapping enzyme,cap decapping,rna decapping,dependent decay,methylguanosine cap,mrna destabilization,rna destabilization,scavenger,mrna decapping,rna stability,mrna stability,methylguanosine,decay,of nucleobase,of biosynthetic,of nitrogen,transcriptional regulation,rna catabolic,post transcriptional,cap,biological quality,quality,heterocycle catabolic,macromolecule catabolic,post,transcriptional,substance catabolic,enzyme,of primary"
IPR011146,"hit like,hit"
