interpro_id,keywords
IPR000036,"cell outer,outer membrane,outer,a26,peptidase a26,endopeptidase activity,omptin,proteolysis,endopeptidase,envelope,peptidase,cell envelope,external encapsulating,encapsulating structure,encapsulating,external,cell periphery,peptidase activity,periphery,a protein"
IPR000037,"ssra binding,ssra,rna binding,binding protein"
IPR000039,"ribosome,structural,el18,protein el18,of ribosome,constituent of,structural constituent,constituent,translation,amide,non membrane,non,peptide,large ribosomal,large,subunit protein,ribosomal subunit,peptide biosynthetic,peptide metabolic,molecule activity,structural molecule,amide biosynthetic,amide metabolic,ribosomal,intracellular non"
IPR000040,"acute myeloid,aml1runt,leukemia 1,protein aml1runt,myeloid leukemia,ribonucleotide binding,templated transcription,acute,ribonucleotide,dna templated,templated,nucleotide binding,purine,myeloid,leukemia,atp binding,nucleus,adenyl,of dna,of rna,1 protein,rna biosynthetic,of macromolecule,adenyl ribonucleotide,adenyl nucleotide,triphosphate binding,of nucleobase,derivative binding,purine ribonucleoside,of gene,of biosynthetic,of nitrogen,of primary,purine ribonucleotide,ribonucleoside triphosphate,triphosphate,anion binding,of metabolic,ribonucleoside,phosphate binding,purine nucleotide,heterocyclic,heterocyclic compound,molecule binding"
IPR000043,"adenosylhomocysteinase,adenosylhomocysteinase like"
IPR000044,
IPR000045,"aspartic type,aspartic,endopeptidase,endopeptidase activity,iv endopeptidase,type endopeptidase,peptidase,prepilin type,prepilin,peptidase activity,peptidase domain,type iv,iv,type peptidase,a protein"
IPR000046,"receptor activity,tachykinin receptor,tachykinin,protein coupled,g protein,coupled,peptide receptor,coupled receptor,nk1,nk1 receptor,neurokinin nk1,neurokinin,plasma membrane,receptor signaling,plasma,signaling pathway,pathway,signaling receptor,peptide,neuropeptide receptor,coupled peptide,neuropeptide,transmembrane signaling,cell periphery,periphery,molecular transducer,transducer activity,transducer,transduction,signal transduction,cell communication,communication,signal"
IPR000047,"helix,helix motif,helix turn,turn,turn helix,motif"
IPR000048,"hand binding,iq motif,iq,protein binding,ef hand,hand,ef,binding site,motif,site"
IPR000049,"electron transfer,electron,transfer,transfer activity,transfer flavoprotein,flavoprotein,beta subunit,conserved site,beta,conserved,site"
IPR000052,"viral capsid,potexcarlavirus coat,potexcarlavirus,capsid,viral,molecule activity,structural molecule,structural,coat protein,coat,virion component,virion"
IPR000053,"nucleobase metabolic,alpha oligoglucan,oligoglucan,oligoglucan phosphorylase,phosphorylase,14 alpha,phosphorylase activity,pyrimidine,pyrimidine nucleobase,14,thymidinepyrimidine,thymidinepyrimidine nucleoside,nucleoside phosphorylase,alpha,pyrimidine containing,hexosyltransferase,hexosyltransferase activity,glycosyltransferase activity,glycosyltransferase,containing small"
IPR000054,"ribosome,structural,el31,protein el31,of ribosome,constituent of,structural constituent,constituent,translation,amide,non membrane,non,peptide,large ribosomal,large,subunit protein,ribosomal subunit,peptide biosynthetic,peptide metabolic,molecule activity,structural molecule,amide biosynthetic,amide metabolic,ribosomal,intracellular non"
IPR000055,"dna specificity,modification dna,specificity domain,i restriction,specificity,restriction modification,type i,restriction,modification"
IPR000056,"epimerase,and epimerase,epimerase activity,racemase and,racemase,on carbohydrates,carbohydrates and,carbohydrates,derivatives,and derivatives,and,epimerase like,3 epimerase,ribulose phosphate,carbohydrate metabolic,phosphate 3,ribulose,isomerase activity,isomerase"
IPR000057,"chemokine,c x,x c,chemokine receptor,c chemokine,8 binding,receptor activity,interleukin 8,chemokine binding,protein coupled,g protein,chemotaxis,coupled,interleukin,coupled receptor,cytokine,receptor signaling,cxc chemokine,signaling pathway,pathway,cxc,cytokine binding,chemoattractant receptor,chemoattractant,coupled chemoattractant,receptor 2,signaling receptor,immune receptor,taxis,locomotion,cytokine receptor,immune,to chemical,to external,external stimulus,chemical,external,transmembrane signaling,transducer activity,molecular transducer,transducer,transduction,signal transduction,cell communication,communication,protein binding,signal"
IPR000058,"an1 type,zinc,an1,zinc ion,zinc finger,finger,transition metal,transition,cation binding"
IPR000059,"anhydrides,manganese ion,manganese,acid anhydrides,diphosphate metabolic,on acid,nucleoside diphosphate,magnesium ion,diphosphate,magnesium,nudl,containing anhydrides,in phosphorus,nudix hydrolase,nudix,phosphate metabolic,containing small,organophosphate metabolic,organophosphate,transition metal,transition,phosphate containing,conserved site,phosphorus metabolic,conserved,cation binding,site"
IPR000060,"bcct,bcct transporter,transporter activity,compound transport,transporter family,transmembrane transporter"
IPR000061,"swapsurp,rna processing,processing,rna binding"
IPR000064,"nlpcp60 domain,nlpcp60,endopeptidase"
IPR000065,"hormone activity,hormone,leptin,signaling receptor,activator activity,activator,extracellular region,function,extracellular,region,transduction,signal transduction,signal,regulator activity,ligand activity,receptor activator,receptor ligand,receptor regulator,function activator,ligand,receptor binding,function regulator,cell communication,communication,protein binding"
IPR000066,"photosynthesis,harvesting complex,light,harvesting,light harvesting,electron,membrane light,cyclic electron,the cyclic,photosynthesis activity,transport pathway,within the,pathway of,electron transporter,electrons,electrons within,transferring electrons,of photosynthesis,light reaction,vesicle,within,reaction,electron transport,plasma membrane,plasma,antenna complex,antenna,membrane derived,derived chromatophore,the,chromatophore,alphabeta subunit,pathway,derived,alphabeta,intracellular vesicle,cytoplasmic vesicle,transfer activity,cytoplasmic,electron transfer,transfer,of precursor,precursor metabolites,metabolites and,metabolites,and energy,energy,generation of,precursor,generation,and,cytoplasm"
IPR000067,"flagellum,type flagellum,bacterial type,cell motility,flagellum basal,flagellum dependent,dependent cell,ms,ms ring,motility,basal body,basal,bacterial,body,cytoskeletal motor,motor activity,ring,motor,protein flif,flif,cytoskeletal,flagellar m,m ring,ring protein,or bacterial,archaeal or,or flagellum,cilium or,cilium,flagellar,cell projection,projection,archaeal,non membrane,non"
IPR000068,"coupled receptor,protein coupled,g protein,receptor activity,coupled,calcium sensing,sensing receptor,extracellular calcium,receptor related,receptor signaling,signaling pathway,sensing,pathway,signaling receptor,family 3,gpcr,calcium,transmembrane signaling,related,molecular transducer,transducer activity,transducer,extracellular,signal transduction,transduction,cell communication,communication,signal"
IPR000069,"viral,life cycle,viral life,life,glycoprotein m,cycle,flavivirus,envelope glycoprotein,glycoprotein,viral process,envelope"
IPR000070,"pectinesterase,pectinesterase activity,wall modification,cell wall,wall,wall organization,organization,ester,modification,structure organization,component organization,organization or,or biogenesis,biogenesis,carboxylic ester,encapsulating,encapsulating structure,external encapsulating,ester hydrolase,external,on ester,ester bonds,carboxylic"
IPR000071,"immunodeficiency lentiviral,lentiviral matrix,lentiviral,immunodeficiency,molecule activity,structural molecule,structural,matrix"
