charge,hydrophobicity,length
-20.0,-4.5,2.0
-20.0,-4.5,16.0
-20.0,-4.5,30.0
-20.0,-4.5,44.0
-20.0,-4.5,58.0
-20.0,-4.5,72.0
-20.0,-4.5,86.0
-20.0,-4.5,100.0
-20.0,-3.257142857142857,2.0
-20.0,-3.257142857142857,16.0
-20.0,-3.257142857142857,30.0
-20.0,-3.257142857142857,44.0
-20.0,-3.257142857142857,58.0
-20.0,-3.257142857142857,72.0
-20.0,-3.257142857142857,86.0
-20.0,-3.257142857142857,100.0
-20.0,-2.0142857142857147,2.0
-20.0,-2.0142857142857147,16.0
-20.0,-2.0142857142857147,30.0
-20.0,-2.0142857142857147,44.0
-20.0,-2.0142857142857147,58.0
-20.0,-2.0142857142857147,72.0
-20.0,-2.0142857142857147,86.0
-20.0,-2.0142857142857147,100.0
-20.0,-0.7714285714285722,2.0
-20.0,-0.7714285714285722,16.0
-20.0,-0.7714285714285722,30.0
-20.0,-0.7714285714285722,44.0
-20.0,-0.7714285714285722,58.0
-20.0,-0.7714285714285722,72.0
-20.0,-0.7714285714285722,86.0
-20.0,-0.7714285714285722,100.0
-20.0,0.47142857142857064,2.0
-20.0,0.47142857142857064,16.0
-20.0,0.47142857142857064,30.0
-20.0,0.47142857142857064,44.0
-20.0,0.47142857142857064,58.0
-20.0,0.47142857142857064,72.0
-20.0,0.47142857142857064,86.0
-20.0,0.47142857142857064,100.0
-20.0,1.7142857142857135,2.0
-20.0,1.7142857142857135,16.0
-20.0,1.7142857142857135,30.0
-20.0,1.7142857142857135,44.0
-20.0,1.7142857142857135,58.0
-20.0,1.7142857142857135,72.0
-20.0,1.7142857142857135,86.0
-20.0,1.7142857142857135,100.0
-20.0,2.9571428571428555,2.0
-20.0,2.9571428571428555,16.0
-20.0,2.9571428571428555,30.0
-20.0,2.9571428571428555,44.0
-20.0,2.9571428571428555,58.0
-20.0,2.9571428571428555,72.0
-20.0,2.9571428571428555,86.0
-20.0,2.9571428571428555,100.0
-20.0,4.2,2.0
-20.0,4.2,16.0
-20.0,4.2,30.0
-20.0,4.2,44.0
-20.0,4.2,58.0
-20.0,4.2,72.0
-20.0,4.2,86.0
-20.0,4.2,100.0
-12.857142857142858,-4.5,2.0
-12.857142857142858,-4.5,16.0
-12.857142857142858,-4.5,30.0
-12.857142857142858,-4.5,44.0
-12.857142857142858,-4.5,58.0
-12.857142857142858,-4.5,72.0
-12.857142857142858,-4.5,86.0
-12.857142857142858,-4.5,100.0
-12.857142857142858,-3.257142857142857,2.0
-12.857142857142858,-3.257142857142857,16.0
-12.857142857142858,-3.257142857142857,30.0
-12.857142857142858,-3.257142857142857,44.0
-12.857142857142858,-3.257142857142857,58.0
-12.857142857142858,-3.257142857142857,72.0
-12.857142857142858,-3.257142857142857,86.0
-12.857142857142858,-3.257142857142857,100.0
-12.857142857142858,-2.0142857142857147,2.0
-12.857142857142858,-2.0142857142857147,16.0
-12.857142857142858,-2.0142857142857147,30.0
-12.857142857142858,-2.0142857142857147,44.0
-12.857142857142858,-2.0142857142857147,58.0
-12.857142857142858,-2.0142857142857147,72.0
-12.857142857142858,-2.0142857142857147,86.0
-12.857142857142858,-2.0142857142857147,100.0
-12.857142857142858,-0.7714285714285722,2.0
-12.857142857142858,-0.7714285714285722,16.0
-12.857142857142858,-0.7714285714285722,30.0
-12.857142857142858,-0.7714285714285722,44.0
-12.857142857142858,-0.7714285714285722,58.0
-12.857142857142858,-0.7714285714285722,72.0
-12.857142857142858,-0.7714285714285722,86.0
-12.857142857142858,-0.7714285714285722,100.0
-12.857142857142858,0.47142857142857064,2.0
-12.857142857142858,0.47142857142857064,16.0
-12.857142857142858,0.47142857142857064,30.0
-12.857142857142858,0.47142857142857064,44.0
-12.857142857142858,0.47142857142857064,58.0
-12.857142857142858,0.47142857142857064,72.0
-12.857142857142858,0.47142857142857064,86.0
-12.857142857142858,0.47142857142857064,100.0
-12.857142857142858,1.7142857142857135,2.0
-12.857142857142858,1.7142857142857135,16.0
-12.857142857142858,1.7142857142857135,30.0
-12.857142857142858,1.7142857142857135,44.0
-12.857142857142858,1.7142857142857135,58.0
-12.857142857142858,1.7142857142857135,72.0
-12.857142857142858,1.7142857142857135,86.0
-12.857142857142858,1.7142857142857135,100.0
-12.857142857142858,2.9571428571428555,2.0
-12.857142857142858,2.9571428571428555,16.0
-12.857142857142858,2.9571428571428555,30.0
-12.857142857142858,2.9571428571428555,44.0
-12.857142857142858,2.9571428571428555,58.0
-12.857142857142858,2.9571428571428555,72.0
-12.857142857142858,2.9571428571428555,86.0
-12.857142857142858,2.9571428571428555,100.0
-12.857142857142858,4.2,2.0
-12.857142857142858,4.2,16.0
-12.857142857142858,4.2,30.0
-12.857142857142858,4.2,44.0
-12.857142857142858,4.2,58.0
-12.857142857142858,4.2,72.0
-12.857142857142858,4.2,86.0
-12.857142857142858,4.2,100.0
-5.7142857142857135,-4.5,2.0
-5.7142857142857135,-4.5,16.0
-5.7142857142857135,-4.5,30.0
-5.7142857142857135,-4.5,44.0
-5.7142857142857135,-4.5,58.0
-5.7142857142857135,-4.5,72.0
-5.7142857142857135,-4.5,86.0
-5.7142857142857135,-4.5,100.0
-5.7142857142857135,-3.257142857142857,2.0
-5.7142857142857135,-3.257142857142857,16.0
-5.7142857142857135,-3.257142857142857,30.0
-5.7142857142857135,-3.257142857142857,44.0
-5.7142857142857135,-3.257142857142857,58.0
-5.7142857142857135,-3.257142857142857,72.0
-5.7142857142857135,-3.257142857142857,86.0
-5.7142857142857135,-3.257142857142857,100.0
-5.7142857142857135,-2.0142857142857147,2.0
-5.7142857142857135,-2.0142857142857147,16.0
-5.7142857142857135,-2.0142857142857147,30.0
-5.7142857142857135,-2.0142857142857147,44.0
-5.7142857142857135,-2.0142857142857147,58.0
-5.7142857142857135,-2.0142857142857147,72.0
-5.7142857142857135,-2.0142857142857147,86.0
-5.7142857142857135,-2.0142857142857147,100.0
-5.7142857142857135,-0.7714285714285722,2.0
-5.7142857142857135,-0.7714285714285722,16.0
-5.7142857142857135,-0.7714285714285722,30.0
-5.7142857142857135,-0.7714285714285722,44.0
-5.7142857142857135,-0.7714285714285722,58.0
-5.7142857142857135,-0.7714285714285722,72.0
-5.7142857142857135,-0.7714285714285722,86.0
-5.7142857142857135,-0.7714285714285722,100.0
-5.7142857142857135,0.47142857142857064,2.0
-5.7142857142857135,0.47142857142857064,16.0
-5.7142857142857135,0.47142857142857064,30.0
-5.7142857142857135,0.47142857142857064,44.0
-5.7142857142857135,0.47142857142857064,58.0
-5.7142857142857135,0.47142857142857064,72.0
